LspServer.UnturnedAssetFileLspServer | Starting LSP server...
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Created attribute unturned-data-file::file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedVehicles/Effects/Countermeasures_Deploy/Countermeasures_Deploy.dat
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Looking for handler for descriptors textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Checking handler textDocument/didOpen:LspServer.Handlers.UnturnedAssetFileSyncHandler
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Registration options OmniSharp.Extensions.LanguageServer.Protocol.Models.TextDocumentOpenRegistrationOptions
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Document Selector [unturned-data-file, **/*.{dat,asset}]
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Handler Selected: LspServer.Handlers.UnturnedAssetFileSyncHandler  via [unturned-data-file, **/*.{dat,asset}] (targeting OmniSharp.Extensions.JsonRpc.IJsonRpcNotificationHandler`1[[OmniSharp.Extensions.LanguageServer.Protocol.Models.DidOpenTextDocumentParams, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022]])
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Swapping from Parallel to Serial
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Cancelling any outstanding requests (switch from parallel to serial)
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Completing existing request process type Parallel
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Serial:textDocument/didOpen request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification textDocument/didOpen to OmniSharp.Extensions.LanguageServer.Protocol.Models.DidOpenTextDocumentParams
LspServer.Handlers.UnturnedAssetFileSyncHandler | Received didOpenTextDocument: file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedVehicles/Effects/Countermeasures_Deploy/Countermeasures_Deploy.dat
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification textDocument/didOpen in 1ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification textDocument/didOpen in 1ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for $/setTrace
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Swapping from Serial to Parallel
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Completing existing request process type Serial
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:$/setTrace request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification $/setTrace
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification $/setTrace
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification $/setTrace to OmniSharp.Extensions.LanguageServer.Protocol.Models.SetTraceParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification $/setTrace in 1ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification $/setTrace in 1ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for $/setTrace
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:$/setTrace request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification $/setTrace
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification $/setTrace
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification $/setTrace to OmniSharp.Extensions.LanguageServer.Protocol.Models.SetTraceParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification $/setTrace in 3ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification $/setTrace in 3ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for textDocument/documentSymbol
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Found attributes 1, unturned-data-file::file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedVehicles/Effects/Countermeasures_Deploy/Countermeasures_Deploy.dat
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Looking for handler for descriptors textDocument/documentSymbol
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Checking handler textDocument/documentSymbol:LspServer.Handlers.DocumentSymbolHandler
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Registration options OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolRegistrationOptions
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Document Selector [unturned-data-file, **/*.{dat,asset}]
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Handler Selected: LspServer.Handlers.DocumentSymbolHandler  via [unturned-data-file, **/*.{dat,asset}] (targeting OmniSharp.Extensions.JsonRpc.IJsonRpcRequestHandler`2[[OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolParams, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022],[OmniSharp.Extensions.LanguageServer.Protocol.Models.SymbolInformationOrDocumentSymbolContainer, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022]])
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:textDocument/documentSymbol:1 request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing request textDocument/documentSymbol 1
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Request (1) textDocument/documentSymbol
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Request (1) textDocument/documentSymbol to OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification textDocument/documentSymbol to OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolParams
LspServer.Handlers.DocumentSymbolHandler | Document symbol received.
LspServer.Files.AssetSpecDictionary | Resource not found: LspServer..Asset_Spec.sdg.unturned.effectasset, assembly-csharp.json.
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Response value was OmniSharp.Extensions.LanguageServer.Protocol.Models.SymbolInformationOrDocumentSymbolContainer
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Request (1) textDocument/documentSymbol in 55ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing request textDocument/documentSymbol 1 in 55ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for $/setTrace
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:$/setTrace request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification $/setTrace
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification $/setTrace
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification $/setTrace to OmniSharp.Extensions.LanguageServer.Protocol.Models.SetTraceParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification $/setTrace in 0ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification $/setTrace in 0ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Created attribute unturned-data-file::file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedUI/UI/MutedUI.asset
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Looking for handler for descriptors textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Checking handler textDocument/didOpen:LspServer.Handlers.UnturnedAssetFileSyncHandler
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Registration options OmniSharp.Extensions.LanguageServer.Protocol.Models.TextDocumentOpenRegistrationOptions
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Document Selector [unturned-data-file, **/*.{dat,asset}]
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Handler Selected: LspServer.Handlers.UnturnedAssetFileSyncHandler  via [unturned-data-file, **/*.{dat,asset}] (targeting OmniSharp.Extensions.JsonRpc.IJsonRpcNotificationHandler`1[[OmniSharp.Extensions.LanguageServer.Protocol.Models.DidOpenTextDocumentParams, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022]])
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Swapping from Parallel to Serial
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Cancelling any outstanding requests (switch from parallel to serial)
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Completing existing request process type Parallel
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Serial:textDocument/didOpen request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification textDocument/didOpen
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification textDocument/didOpen to OmniSharp.Extensions.LanguageServer.Protocol.Models.DidOpenTextDocumentParams
LspServer.Handlers.UnturnedAssetFileSyncHandler | Received didOpenTextDocument: file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedUI/UI/MutedUI.asset
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification textDocument/didOpen in 2ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification textDocument/didOpen in 2ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for textDocument/documentSymbol
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Found attributes 1, unturned-data-file::file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedUI/UI/MutedUI.asset
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Looking for handler for descriptors textDocument/documentSymbol
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Checking handler textDocument/documentSymbol:LspServer.Handlers.DocumentSymbolHandler
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Registration options OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolRegistrationOptions
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Document Selector [unturned-data-file, **/*.{dat,asset}]
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Handler Selected: LspServer.Handlers.DocumentSymbolHandler  via [unturned-data-file, **/*.{dat,asset}] (targeting OmniSharp.Extensions.JsonRpc.IJsonRpcRequestHandler`2[[OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolParams, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022],[OmniSharp.Extensions.LanguageServer.Protocol.Models.SymbolInformationOrDocumentSymbolContainer, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022]])
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Swapping from Serial to Parallel
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Completing existing request process type Serial
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:textDocument/documentSymbol:2 request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing request textDocument/documentSymbol 2
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Request (2) textDocument/documentSymbol
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Request (2) textDocument/documentSymbol to OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification textDocument/documentSymbol to OmniSharp.Extensions.LanguageServer.Protocol.Models.DocumentSymbolParams
LspServer.Handlers.DocumentSymbolHandler | Document symbol received.
LspServer.Files.AssetSpecDictionary | Resource not found: LspServer..Asset_Spec.sdg.unturned.effectasset, assembly-csharp.json.
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Response value was OmniSharp.Extensions.LanguageServer.Protocol.Models.SymbolInformationOrDocumentSymbolContainer
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Request (2) textDocument/documentSymbol in 2ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing request textDocument/documentSymbol 2 in 2ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for textDocument/didClose
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Found attributes 1, unturned-data-file::file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedUI/UI/MutedUI.asset
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Looking for handler for descriptors textDocument/didClose
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Checking handler textDocument/didClose:LspServer.Handlers.UnturnedAssetFileSyncHandler
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Registration options OmniSharp.Extensions.LanguageServer.Protocol.Models.TextDocumentCloseRegistrationOptions
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Document Selector [unturned-data-file, **/*.{dat,asset}]
OmniSharp.Extensions.LanguageServer.Server.Matchers.TextDocumentMatcher | Handler Selected: LspServer.Handlers.UnturnedAssetFileSyncHandler  via [unturned-data-file, **/*.{dat,asset}] (targeting OmniSharp.Extensions.JsonRpc.IJsonRpcNotificationHandler`1[[OmniSharp.Extensions.LanguageServer.Protocol.Models.DidCloseTextDocumentParams, OmniSharp.Extensions.LanguageProtocol, Version=0.19.0.0, Culture=neutral, PublicKeyToken=6d868dff454e6022]])
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:textDocument/didClose request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification textDocument/didClose
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification textDocument/didClose
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification textDocument/didClose to OmniSharp.Extensions.LanguageServer.Protocol.Models.DidCloseTextDocumentParams
LspServer.Handlers.UnturnedAssetFileSyncHandler | Received didCloseTextDocument: file:///c:/Users/danny/OneDrive/Documents/Unturned%20Mod%20Data/Mods/Uncreated%20Content/UncreatedUI/UI/MutedUI.asset
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification textDocument/didClose in 1ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification textDocument/didClose in 1ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for workspace/didChangeWatchedFiles
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Unable to find workspace/didChangeWatchedFiles, methods found include initialized:OmniSharp.Extensions.LanguageServer.Server.LanguageServer, window/workDoneProgress/cancel:OmniSharp.Extensions.LanguageServer.Protocol.Server.WorkDone.LanguageServerWorkDoneManager, textDocument/didOpen:LspServer.Handlers.UnturnedAssetFileSyncHandler, $/setTrace:OmniSharp.Extensions.LanguageServer.Server.Logging.LanguageServerLoggingManager, workspace/didChangeConfiguration:OmniSharp.Extensions.LanguageServer.Server.Configuration.DidChangeConfigurationProvider, textDocument/completion:LspServer.Handlers.KeyCompletionHandler, shutdown:OmniSharp.Extensions.LanguageServer.Server.LanguageServer, exit:OmniSharp.Extensions.LanguageServer.Server.LanguageServer, workspace/didChangeWorkspaceFolders:OmniSharp.Extensions.LanguageServer.Server.LanguageServerWorkspaceFolderManager, textDocument/didChange:LspServer.Handlers.UnturnedAssetFileSyncHandler, initialize:OmniSharp.Extensions.LanguageServer.Server.LanguageServer, textDocument/hover:LspServer.Handlers.HoverHandler, $/progress:OmniSharp.Extensions.LanguageServer.Protocol.Progress.ProgressManager, textDocument/documentSymbol:LspServer.Handlers.DocumentSymbolHandler, textDocument/didClose:LspServer.Handlers.UnturnedAssetFileSyncHandler, textDocument/didSave:LspServer.Handlers.UnturnedAssetFileSyncHandler
OmniSharp.Extensions.JsonRpc.InputHandler | Notification handler was not found (or not setup) workspace/didChangeWatchedFiles
